#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NLGN3	HOMER3	0	0	0	0	0	0	0	0	0	0	0.65
NLGN3	UBE3A	0	0	0	0	0	0	0	0	0	0	0.667
NLGN3	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.763
NLGN3	DLG2	0	0	0	0	0	0	0	0	0	0	0.776
NLGN3	CASK	0	0	0	0	0	0	0	0	0	0	0.786
NLGN3	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.796
NLGN3	NLGN1	0	0	0	0	0	0	0	0	0	0	0.799
NLGN3	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.839
NLGN3	DLG3	0	0	0	0	0	0	0	0	0	0	0.885
NLGN3	SHANK3	0	0	0	0	0	0	0	0	0	0	0.993
NLGN3	DLG4	0	0	0	0	0	0	0	0	0	0	0.995
NLGN3	NRXN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.422
GRIN1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.442
GRIN1	NRXN1	0	0	0	0	0	0	0	0	0	0	0.449
GRIN1	DLGAP3	0	0	0	0	0	0	0	0	0	0	0.507
GRIN1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.568
GRIN1	NLGN1	0	0	0	0	0	0	0	0	0	0	0.611
GRIN1	DLG2	0	0	0	0	0	0	0	0	0	0	0.761
GRIN1	GRIK2	0	0	0	0	0	0	0	0	0	0	0.77
GRIN1	CASK	0	0	0	0	0	0	0	0	0	0	0.836
GRIN1	DLG3	0	0	0	0	0	0	0	0	0	0	0.879
GRIN1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.907
GRIN1	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
GRIN1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
PTEN	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.422
PTEN	SHANK3	0	0	0	0	0	0	0	0	0	0	0.483
PTEN	NLGN1	0	0	0	0	0	0	0	0	0	0	0.496
PTEN	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.547
PTEN	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.556
PTEN	DLG4	0	0	0	0	0	0	0	0	0	0	0.745
PTEN	UBE3A	0	0	0	0	0	0	0	0	0	0	0.96
TJAP1	DLG3	0	0	0	0	0	0	0	0	0	0	0.911
TJAP1	DLG2	0	0	0	0	0	0	0	0	0	0	0.978
DLGAP3	GRIA1	0	0	0	0	0	0	0	0	0	0	0.507
DLGAP3	GRIK2	0	0	0	0	0	0	0	0	0	0	0.641
DLGAP3	HOMER3	0	0	0	0	0	0	0	0	0	0	0.72
DLGAP3	NRXN1	0	0	0	0	0	0	0	0	0	0	0.733
DLGAP3	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.737
DLGAP3	NLGN1	0	0	0	0	0	0	0	0	0	0	0.737
DLGAP3	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.753
DLGAP3	DLG3	0	0	0	0	0	0	0	0	0	0	0.835
DLGAP3	DLG2	0	0	0	0	0	0	0	0	0	0	0.847
DLGAP3	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.868
DLGAP3	SHANK3	0	0	0	0	0	0	0	0	0	0	0.992
DLGAP3	DLG4	0	0	0	0	0	0	0	0	0	0	0.993
DLG3	HOMER3	0	0	0	0	0	0	0	0	0	0	0.633
DLG3	NRXN1	0	0	0	0	0	0	0	0	0	0	0.717
DLG3	CASK	0	0	0	0	0	0	0	0	0	0	0.728
DLG3	SHANK3	0	0	0	0	0	0	0	0	0	0	0.759
DLG3	GRIA1	0	0	0	0	0	0	0	0	0	0	0.815
DLG3	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.863
DLG3	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.872
DLG3	GRIK2	0	0	0	0	0	0	0	0	0	0	0.884
DLG3	NLGN1	0	0	0	0	0	0	0	0	0	0	0.892
DLG3	UBE3A	0	0	0	0	0	0	0	0	0	0	0.913
DLG3	NBEA	0	0	0	0	0	0	0	0	0	0	0.963
DLG3	DLG2	0	0	0	0	0	0	0	0	0	0	0.984
DLG3	DLG4	0	0	0	0	0	0	0	0	0	0	0.997
DLG3	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.998
DLG2	HOMER3	0	0	0	0	0	0	0	0	0	0	0.645
DLG2	CASK	0	0	0	0	0	0	0	0	0	0	0.686
DLG2	NLGN4X	0	0	0	0	0	0	0	0	0	0	0.713
DLG2	NRXN1	0	0	0	0	0	0	0	0	0	0	0.778
DLG2	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.811
DLG2	NLGN1	0	0	0	0	0	0	0	0	0	0	0.868
DLG2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.908
DLG2	UBE3A	0	0	0	0	0	0	0	0	0	0	0.913
DLG2	SHANK3	0	0	0	0	0	0	0	0	0	0	0.919
DLG2	DLG4	0	0	0	0	0	0	0	0	0	0	0.969
DLG2	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.429
CTTN	HOMER3	0	0	0	0	0	0	0	0	0	0	0.495
CTTN	SHANK3	0	0	0	0	0	0	0	0	0	0	0.901
CTTN	DLG4	0	0	0	0	0	0	0	0	0	0	0.924
NLGN4X	GRIA1	0	0	0	0	0	0	0	0	0	0	0.514
NLGN4X	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.546
NLGN4X	NLGN1	0	0	0	0	0	0	0	0	0	0	0.548
NLGN4X	HOMER3	0	0	0	0	0	0	0	0	0	0	0.619
NLGN4X	UBE3A	0	0	0	0	0	0	0	0	0	0	0.633
NLGN4X	CASK	0	0	0	0	0	0	0	0	0	0	0.809
NLGN4X	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.841
NLGN4X	SHANK3	0	0	0	0	0	0	0	0	0	0	0.995
NLGN4X	DLG4	0	0	0	0	0	0	0	0	0	0	0.995
NLGN4X	NRXN1	0	0	0	0	0	0	0	0	0	0	0.999
NRXN1	UBE3A	0	0	0	0	0	0	0	0	0	0	0.532
NRXN1	GRIK2	0	0	0	0	0	0	0	0	0	0	0.562
NRXN1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.6
NRXN1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.619
NRXN1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.803
NRXN1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.832
NRXN1	CASK	0	0	0	0	0	0	0	0	0	0	0.938
NRXN1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.961
NRXN1	DLG4	0	0	0	0	0	0	0	0	0	0	0.991
NRXN1	NLGN1	0	0	0	0	0	0	0	0	0	0	0.999
NLGN1	UBE3A	0	0	0	0	0	0	0	0	0	0	0.548
NLGN1	GRIK2	0	0	0	0	0	0	0	0	0	0	0.628
NLGN1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.633
NLGN1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.643
NLGN1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.755
NLGN1	CASK	0	0	0	0	0	0	0	0	0	0	0.808
NLGN1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.811
NLGN1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.978
